file_name,model,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
Elaenia_albiceps,max,0.993620979,0.000134499,0.983436756,0.001389689,0.944026829,0.001434549
Elaphroptera_,max,0.991966667,0.002734146,0.873455018,0.043016677,0.979849507,0.001682562
Epiclopus_gayi,max,0.995415,0.000374767,0.900565429,0.046430733,0.9870794,0.002310638
Eristalis_tenax,max,0.992502222,0.000622254,0.803370432,0.037605239,0.978513813,0.001426072
Eryphus_laetus,max,0.991115789,0.005091169,0.89997122,0.0636749,0.983742916,0.001597746
Eurymetopum,max,0.996861538,0.000870285,0.943829837,0.01329823,0.987062978,0.001716609
Faunula_,max,0.975285714,0.011111678,0.958192128,0.008508074,0.956082357,0.036484468
Faunula_leucoglene,max,0.97579,0.010337901,0.989367848,0.011477993,0.942419028,0.046893152
Fazia_macquarti,max,0.987983333,0.001296362,0.940655205,0.050152375,0.959450364,0.039311723
Haplous_,max,0.997016667,0.001814907,0.988986113,0.009519179,0.976428311,0.015453288
Hylephila,max,0.988824057,0.012334907,0.958865709,0.022899041,0.9808467,0.003410186
Hylephila_fasciolata,max,0.996952901,0.00081093,0.909734213,0.05348766,0.986521085,0.001281071
Hypodynerus,max,0.988024127,0.005816683,0.776277715,0.025736916,0.97819229,0.001763153
Hypodynerus_chiliensis,max,0.9839,0.011549411,0.995229132,0.00588608,0.98617348,0.001017048
Hypodynerus_colocolo,max,0.9935875,0.001184404,0.897398198,0.069983505,0.983586653,0.000862215
Isepeolus,max,0.991455504,0.000336742,0.894124417,0.031003264,0.977085049,0.002528409
Lasia_aenea,max,0.9975,0.001272792,0.990118327,0.010661741,0.993006944,0.006101849
Lasia_corvina,max,0.9983,4.71E-05,0.979887565,0.000759022,0.992390191,0.003185333
Lasioglossum,max,0.988786813,0.000627849,0.888908772,0.111188001,0.967770866,0.002036129
Leioproctus_,max,0.995388571,0.000169706,0.914116595,0.042466977,0.985906747,0.002852994
Leioproctus_semicyaneus,max,0.996984848,0.001907046,0.929465722,0.06330397,0.991059624,0.000803198
Leptoglossus_chilensis,max,0.997039333,0.001877133,0.821099099,0.055419697,0.988908067,0.001694246
Lichnia_limbata,max,0.9988,0.000113137,0.983002385,0.01225027,0.99704962,0.001114048
Lonchopria_zonalis,max,0.998092308,0.000261086,0.95507124,0.008192027,0.992357899,0.000726219
Manduca_sexta,max,0.91844,0.088303495,0.995036389,0.004271335,0.957535714,0.028216991
Manuelia,max,0.997262963,0.001429927,0.869260256,0.053771035,0.985887043,0.001235075
Manuelia_gayatina,max,0.99679375,0.00038007,0.942051522,0.074699915,0.986740123,0.002485965
Manuelia_gayi,max,0.996284848,0.000471405,0.954572801,0.032925331,0.98536833,0.001282046
Manuelia_postica,max,0.993456277,0.002573746,0.875442515,0.086906366,0.984528922,0.000377314
Mathania_leucothea,max,0.994538462,0.003328841,0.920983599,0.010916111,0.985114452,0.004744352
Mecopselaphus,max,0.98217,0.004058793,0.997949894,0.002341143,0.951782096,0.025859645
Megachile_,max,0.992152547,0.001537381,0.922014732,0.015225392,0.969665855,0.002615679
Megachile_cinerea,max,0.993924211,0.003739478,0.953926754,0.006674601,0.987443197,0.001485443
